,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
136,165.0,6.86,1.084405209723739,1.3780811610864077,0.0716730547140392,1.4229084932046845
137,180.0,6.86,1.064516129032259,1.296821078218428,0.0680224917484416,1.294392848934533
138,196.0,6.86,1.0850030393045151,1.365641524895012,0.0564866922517866,1.210326006362909
139,211.0,6.86,1.0561249999999995,3.3121932085051835,0.001,1.5142148753941012
140,227.0,6.86,1.0860421293492166,1.5270170791619213,0.0474776632250669,1.424401113275148
141,243.0,6.86,1.073047858942064,1.5897033192787615,0.031697589613506,1.3745088469568267
142,274.0,6.86,1.077303499713138,1.460908327354074,0.0379677241843312,1.2007012095843144
143,353.0,6.86,1.060637087599543,1.2841966735135824,0.0411628956498725,1.069507587126959
144,101.0,8.52,,,,
145,117.0,8.52,,,,
146,133.0,8.52,,,,
147,149.0,8.52,,,,
148,165.0,8.52,,,,
149,180.0,8.52,,,,
150,196.0,8.52,,,,
151,211.0,8.52,,,,
152,227.0,8.52,,,,
153,243.0,8.52,,,,
154,274.0,8.52,,,,
155,353.0,8.52,,,,
156,101.0,9.07,1.0650406504065049,2.079848256592849,0.0081803543233454,1.146947620482229
157,117.0,9.07,1.0773195876288684,1.9761666868634171,0.0064136547716675,0.92847725035558
158,133.0,9.07,1.0654161704380043,1.7688343304387473,0.0149463979173099,1.1016476347276964
159,149.0,9.07,1.0829015544041427,1.9078163762785152,0.0114408175197673,1.0370519019726918
160,165.0,9.07,1.072164948453606,1.89151187459447,0.008273237896463,0.9712884560841706
161,180.0,9.07,1.0652173913043474,1.7830754429579652,0.0136478057720269,1.0263990856260987
162,196.0,9.07,1.048128342245988,1.9823071550039824,0.0045383638562195,0.9286896016261637
163,211.0,9.07,1.0712188114000802,1.7114170958470587,0.0151176264430621,1.072751932803612
164,227.0,9.07,1.0624999999999971,1.703671449579512,0.0153744265827043,1.1859671745872191
165,243.0,9.07,1.0559440559440545,1.8826297263219531,0.0053416146104368,0.9187039181459098
166,274.0,9.07,1.0592664122976458,1.8907560889026496,0.0069800869311974,1.0342188739358331
167,353.0,9.07,1.0502107385010075,1.7901277864062717,0.0064693094692827,0.94040875491242
168,101.0,14.02,1.0584439822961655,1.8683215837586329,0.0070736303591678,0.7662326122939779
169,117.0,14.02,1.0588235294117652,1.8789099191775016,0.0043207476336862,0.636010185120021
170,133.0,14.02,1.042105263157895,1.9333111529543268,0.0041532275129931,0.7100863166267154
171,149.0,14.02,1.0514285714285705,2.250099306004822,0.0010975127504097,0.6264066886597676
172,165.0,14.02,1.0489795918367326,1.8942279862900908,0.0029059622558802,0.6223999462559534
173,180.0,14.02,1.0559467918622842,1.7402904768701597,0.0067047660126451,0.6808804751474256
174,196.0,14.02,1.0628836083112785,1.8068653404457429,0.0061112408058889,0.6791319856244673
175,211.0,14.02,1.042731791438425,1.9455405623996416,0.0026459431128112,0.6611973520153838
176,227.0,14.02,1.0505882352941192,1.8887283503520584,0.0042261276744207,0.7146019768098331
177,243.0,14.02,1.0327868852459074,2.0000436140113904,0.0018064813299443,0.6422979700458298
178,274.0,14.02,1.0382513661202173,1.9699131251122168,0.0017864751885233,0.6240151449076469
179,353.0,14.02,1.0427748927523148,1.9262214160658868,0.0026578770257843,0.6422193027381242
180,101.0,17.35,1.0636363636363615,1.807821481280622,0.0051804516643818,0.4740160725757552
181,117.0,17.35,1.0464723926380384,1.797264062670373,0.0035267083300688,0.4995457685183806
182,133.0,17.35,1.047577752954319,2.1490909317715317,0.0014509673440625,0.5572411505249855
183,149.0,17.35,1.050828344131877,1.8718218813291627,0.0036209553716495,0.5453587428438935
184,165.0,17.35,1.0333333333333357,1.9471031454025625,0.0018130855958775,0.4993336230474701
185,180.0,17.35,1.0461366538952748,1.8580756224502772,0.0023865525957118,0.493771711688109
186,196.0,17.35,1.051813471502588,1.386583881215785,0.0131491100051945,0.4914671902446281
187,211.0,17.35,1.053175891501286,1.6881587255384969,0.0059032807338248,0.5313387689610105
188,227.0,17.35,1.0423850574712623,1.7447673388429052,0.0042908321078399,0.4979221148295937
189,243.0,17.35,1.0489510489510518,1.3849391922188992,0.0172680382311091,0.7201265184115189
190,274.0,17.35,1.046153846153845,1.7708906613218889,0.0031777628402687,0.4747101130172738
191,353.0,17.35,1.0454545454545523,1.7141401914779166,0.0040698548042588,0.4562506486594909
192,100.0,10.0,1.0618507103660824,2.1207760517116205,0.0074204201988897,1.1613963290652312
193,125.0,10.0,1.04814814814815,1.35669595942577,0.0210675972416178,0.8310741662439988
194,150.0,10.0,1.0480824396487043,2.097925617182657,0.003399281925765,0.9575342132409684
195,175.0,10.0,1.0496894409937851,1.778724517846428,0.0056707623069423,0.8479036466668449
196,200.0,10.0,1.0499999999999967,1.7685228562108195,0.006911349976504,0.8449521251393343
197,225.0,10.0,1.0514626218851564,1.6410684130467192,0.0095803166390318,0.8296799365939682
198,250.0,10.0,1.060593328240388,1.6183680593760952,0.016622235934216,0.9382460574203132
199,275.0,10.0,1.0476966824644556,1.5713502174685938,0.0092181499016466,0.830847328744524
